"","speciesId","species_lsid","family","genus","species","subspecies","author","year","parentheses","distribution"
"1074",1102,"urn:lsid:nmbe.ch:spidersp:021237","Agelenidae","Tegenaria","hauseri","","Brignoli",1979,0,"Greece"
"1075",1103,"urn:lsid:nmbe.ch:spidersp:021238","Agelenidae","Tegenaria","hemanginiae","","Reddy & Patel",1992,0,"India"
"1076",1104,"urn:lsid:nmbe.ch:spidersp:021239","Agelenidae","Tegenaria","henroti","","Dresco",1956,0,"Italy (Sardinia)"
"1077",1105,"urn:lsid:nmbe.ch:spidersp:040210","Agelenidae","Tegenaria","ismaillensis","","Guseinov, Marusik & Koponen",2005,0,"Azerbaijan"
"1078",1106,"urn:lsid:nmbe.ch:spidersp:021243","Agelenidae","Tegenaria","karaman","","Brignoli",1978,0,"Turkey"
"1079",1107,"urn:lsid:nmbe.ch:spidersp:021245","Agelenidae","Tegenaria","lapicidinarum","","Spassky",1934,0,"Ukraine, Russia (Europe)"
"1080",1108,"urn:lsid:nmbe.ch:spidersp:040201","Agelenidae","Tegenaria","lehtineni","","Guseinov, Marusik & Koponen",2005,1,"Azerbaijan"
"1081",1109,"urn:lsid:nmbe.ch:spidersp:040202","Agelenidae","Tegenaria","lenkoranica","","Guseinov, Marusik & Koponen",2005,1,"Azerbaijan, Iran"
"1082",1110,"urn:lsid:nmbe.ch:spidersp:021246","Agelenidae","Tegenaria","levantina","","Barrientos",1981,0,"Spain"
"1083",1111,"urn:lsid:nmbe.ch:spidersp:021248","Agelenidae","Tegenaria","longimana","","Simon",1898,0,"Turkey, Caucasus (Russia, Georgia)"
"1084",1112,"urn:lsid:nmbe.ch:spidersp:021249","Agelenidae","Tegenaria","lunakensis","","Tikader",1964,0,"Nepal"
"1085",1113,"urn:lsid:nmbe.ch:spidersp:021250","Agelenidae","Tegenaria","lyncea","","Brignoli",1978,0,"Turkey, Azerbaijan"
"1086",1114,"urn:lsid:nmbe.ch:spidersp:043859","Agelenidae","Tegenaria","maelfaiti","","Bosmans",2011,0,"Greece"
"1087",1115,"urn:lsid:nmbe.ch:spidersp:021252","Agelenidae","Tegenaria","mamikonian","","Brignoli",1978,0,"Turkey"
"1088",1116,"urn:lsid:nmbe.ch:spidersp:021254","Agelenidae","Tegenaria","maroccana","","Denis",1956,0,"Morocco"
"1089",1117,"urn:lsid:nmbe.ch:spidersp:021255","Agelenidae","Tegenaria","maronita","","Simon",1873,0,"Turkey, Syria, Lebanon, Israel "
"1090",1118,"urn:lsid:nmbe.ch:spidersp:021256","Agelenidae","Tegenaria","mediterranea","","Levy",1996,0,"Israel"
"1091",1119,"urn:lsid:nmbe.ch:spidersp:021257","Agelenidae","Tegenaria","melbae","","Brignoli",1972,0,"Turkey"
"1092",1120,"urn:lsid:nmbe.ch:spidersp:043314","Agelenidae","Tegenaria","mercanturensis","","Bolzern & Hervé",2010,0,"France"
"1093",1121,"urn:lsid:nmbe.ch:spidersp:021258","Agelenidae","Eratigena","mexicana","","Roth",1968,1,"Mexico"
"1094",1122,"urn:lsid:nmbe.ch:spidersp:021259","Agelenidae","Tegenaria","michae","","Brignoli",1978,0,"Lebanon"
"1095",1123,"urn:lsid:nmbe.ch:spidersp:021260","Agelenidae","Tegenaria","mirifica","","Thaler",1987,0,"Switzerland, Austria. Italy"
"1096",1124,"urn:lsid:nmbe.ch:spidersp:021261","Agelenidae","Tegenaria","montana","","Deltshev",1993,0,"Bulgaria"
"1097",1125,"urn:lsid:nmbe.ch:spidersp:046097","Agelenidae","Tegenaria","montiszasensis","","Bolzern, Burckhardt & Hänggi",2013,0,"Greece"
"1098",1126,"urn:lsid:nmbe.ch:spidersp:040203","Agelenidae","Tegenaria","nakhchivanica","","Guseinov, Marusik & Koponen",2005,1,"Azerbaijan"
"1099",1127,"urn:lsid:nmbe.ch:spidersp:021266","Agelenidae","Tegenaria","oribata","","Simon",1916,0,"France"
"1100",1128,"urn:lsid:nmbe.ch:spidersp:021268","Agelenidae","Tegenaria","pagana","","C. L. Koch",1840,0,"Europe to Central Asia. Introduced to USA, Mexico, Brazil, Chile, South Africa"
"1101",1129,"urn:lsid:nmbe.ch:spidersp:021270","Agelenidae","Tegenaria","parietina","","Fourcroy",1785,1,"Europe, North Africa to Israel and Central Asia. Introduced to Jamaica, Paraguay, South Africa, Sri Lanka"
"1102",1130,"urn:lsid:nmbe.ch:spidersp:021271","Agelenidae","Tegenaria","parmenidis","","Brignoli",1971,0,"Italy"
"1103",1131,"urn:lsid:nmbe.ch:spidersp:021272","Agelenidae","Tegenaria","parvula","","Thorell",1875,0,"Italy, Slovenia, Romania"
"1104",1132,"urn:lsid:nmbe.ch:spidersp:021273","Agelenidae","Tegenaria","pasquinii","","Brignoli",1978,0,"Turkey"
"1105",1133,"urn:lsid:nmbe.ch:spidersp:021274","Agelenidae","Tegenaria","percuriosa","","Brignoli",1972,0,"Turkey"
"1106",1134,"urn:lsid:nmbe.ch:spidersp:021277","Agelenidae","Tegenaria","pieperi","","Brignoli",1979,0,"Greece (Crete)"
"1107",1135,"urn:lsid:nmbe.ch:spidersp:046098","Agelenidae","Tegenaria","pindosiensis","","Bolzern, Burckhardt & Hänggi",2013,0,"Greece"
"1108",1136,"urn:lsid:nmbe.ch:spidersp:040205","Agelenidae","Tegenaria","podoprygorai","","Kovblyuk",2006,1,"Ukraine"
"1109",1137,"urn:lsid:nmbe.ch:spidersp:021278","Agelenidae","Tegenaria","pontica","","Charitonov",1947,0,"Georgia"
"1110",1138,"urn:lsid:nmbe.ch:spidersp:040206","Agelenidae","Tegenaria","pseudolyncea","","Guseinov, Marusik & Koponen",2005,1,"Azerbaijan"
"1111",1139,"urn:lsid:nmbe.ch:spidersp:021279","Agelenidae","Tegenaria","racovitzai","","Simon",1907,0,"Spain, France"
"1112",1140,"urn:lsid:nmbe.ch:spidersp:021280","Agelenidae","Tegenaria","ramblae","","Barrientos",1978,0,"Portugal, Spain"
"1113",1141,"urn:lsid:nmbe.ch:spidersp:021281","Agelenidae","Tegenaria","regispyrrhi","","Brignoli",1976,0,"Bulgaria, Greece, Balkans"
"1114",1142,"urn:lsid:nmbe.ch:spidersp:021282","Agelenidae","Tegenaria","rhodiensis","","Caporiacco",1948,0,"Greece (Rhodes), Turkey"
"1115",1143,"urn:lsid:nmbe.ch:spidersp:021283","Agelenidae","Tegenaria","rilaensis","","Deltshev",1993,0,"North Macedonia, Bulgaria"
"1116",1144,"urn:lsid:nmbe.ch:spidersp:021284","Agelenidae","Eratigena","rothi","","Gertsch",1971,1,"Mexico"
"1117",1145,"urn:lsid:nmbe.ch:spidersp:021286","Agelenidae","Tegenaria","sbordonii","","Brignoli",1971,0,"Italy"
"1118",1146,"urn:lsid:nmbe.ch:spidersp:021287","Agelenidae","Tegenaria","schmalfussi","","Brignoli",1976,0,"Greece (Crete)"
"1119",1147,"urn:lsid:nmbe.ch:spidersp:046099","Agelenidae","Tegenaria","schoenhoferi","","Bolzern, Burckhardt & Hänggi",2013,0,"Greece"
"1120",1148,"urn:lsid:nmbe.ch:spidersp:038728","Agelenidae","Tegenaria","scopifera","","Barrientos, Ribera & Pons",2002,0,"Spain (Balearic Is.)"
"1121",1149,"urn:lsid:nmbe.ch:spidersp:021289","Agelenidae","Eratigena","selva","","Roth",1968,1,"Mexico"
"1122",1150,"urn:lsid:nmbe.ch:spidersp:046092","Agelenidae","Eratigena","serrana","","Barrientos & Sánchez-Corral",2013,1,"Spain"
"1123",1151,"urn:lsid:nmbe.ch:spidersp:021290","Agelenidae","Tegenaria","shillongensis","","Barman",1979,0,"India"
"1124",1152,"urn:lsid:nmbe.ch:spidersp:021291","Agelenidae","Tegenaria","silvestris","","L. Koch",1872,0,"Europe"
"1125",1153,"urn:lsid:nmbe.ch:spidersp:040211","Agelenidae","Tegenaria","talyshica","","Guseinov, Marusik & Koponen",2005,0,"Azerbaijan"
"1126",1154,"urn:lsid:nmbe.ch:spidersp:021295","Agelenidae","Tegenaria","taurica","","Charitonov",1947,0,"Ukraine, Georgia"
"1127",1155,"urn:lsid:nmbe.ch:spidersp:021296","Agelenidae","Tegenaria","tekke","","Brignoli",1978,0,"Turkey"
"1128",1156,"urn:lsid:nmbe.ch:spidersp:021297","Agelenidae","Eratigena","tlaxcala","","Roth",1968,1,"Mexico"
"1129",1157,"urn:lsid:nmbe.ch:spidersp:021298","Agelenidae","Tegenaria","tridentina","","L. Koch",1872,0,"Europe"
"1130",1158,"urn:lsid:nmbe.ch:spidersp:021300","Agelenidae","Tegenaria","tyrrhenica","","Dalmas",1922,0,"Italy"
"1131",1159,"urn:lsid:nmbe.ch:spidersp:021301","Agelenidae","Tegenaria","vallei","","Brignoli",1972,0,"Libya"
"1132",1160,"urn:lsid:nmbe.ch:spidersp:046100","Agelenidae","Tegenaria","vankeerorum","","Bolzern, Burckhardt & Hänggi",2013,0,"Greece (Rhodes), Turkey"
"1133",1161,"urn:lsid:nmbe.ch:spidersp:021303","Agelenidae","Tegenaria","vignai","","Brignoli",1978,0,"Turkey"
"1134",1162,"urn:lsid:nmbe.ch:spidersp:021305","Agelenidae","Tegenaria","wittmeri","","Brignoli",1978,0,"Bhutan"
"1135",1163,"urn:lsid:nmbe.ch:spidersp:040212","Agelenidae","Tegenaria","zagatalensis","","Guseinov, Marusik & Koponen",2005,0,"Azerbaijan"
"1136",1164,"urn:lsid:nmbe.ch:spidersp:021307","Agelenidae","Textrix","caudata","","L. Koch",1872,0,"Macaronesia, Northern Africa, Southern Europe, Syria"
"1137",1165,"urn:lsid:nmbe.ch:spidersp:021308","Agelenidae","Textrix","chyzeri","","de Blauwe",1980,0,"Hungary, Croatia, Bosnia and Herzegovina, Montenegro, Bulgaria"
"1138",1166,"urn:lsid:nmbe.ch:spidersp:021309","Agelenidae","Textrix","denticulata","","Olivier",1789,1,"Europe, Turkey"
"1139",1167,"urn:lsid:nmbe.ch:spidersp:042026","Agelenidae","Textrix","intermedia","","Wunderlich",2008,0,"Spain, France"
"1140",1168,"urn:lsid:nmbe.ch:spidersp:021310","Agelenidae","Textrix","nigromarginata","","Strand",1906,0,"Ethiopia"
"1141",1169,"urn:lsid:nmbe.ch:spidersp:021311","Agelenidae","Textrix","pinicola","","Simon",1875,0,"Portugal to Italy"
"1142",1170,"urn:lsid:nmbe.ch:spidersp:021312","Agelenidae","Textrix","rubrofoliata","","Pesarini",1990,0,"Italy (Sicily)"
"1143",1171,"urn:lsid:nmbe.ch:spidersp:021313","Agelenidae","Tikaderia","psechrina","","Simon",1906,1,"Himalayas"
"1144",1172,"urn:lsid:nmbe.ch:spidersp:040316","Agelenidae","Tonsilla","defossa","","Xu & Li",2006,0,"China"
"1145",1173,"urn:lsid:nmbe.ch:spidersp:023082","Agelenidae","Tonsilla","eburniformis","","Wang & Yin",1992,0,"China"
"1146",1175,"urn:lsid:nmbe.ch:spidersp:022805","Agelenidae","Tonsilla","lyrata","","Wang, Yin, Peng & Xie",1990,1,"China"
"1147",1176,"urn:lsid:nmbe.ch:spidersp:038785","Agelenidae","Tonsilla","makros","","Wang",2003,0,"China"
"1148",1177,"urn:lsid:nmbe.ch:spidersp:022885","Agelenidae","Tonsilla","tautispina","","Wang, Yin, Peng & Xie",1990,1,"China"
"1149",1178,"urn:lsid:nmbe.ch:spidersp:023084","Agelenidae","Tonsilla","truculenta","","Wang & Yin",1992,0,"China"
"1150",1179,"urn:lsid:nmbe.ch:spidersp:022907","Agelenidae","Tonsilla","variegata","","Wang, Yin, Peng & Xie",1990,1,"China"
"1151",1180,"urn:lsid:nmbe.ch:spidersp:039255","Agelenidae","Tonsilla","yanlingensis","","Zhang, Yin & Kim",2000,1,"China"
"1152",1181,"urn:lsid:nmbe.ch:spidersp:021314","Agelenidae","Tortolena","dela","","Chamberlin & Ivie",1941,0,"USA"
"1153",1182,"urn:lsid:nmbe.ch:spidersp:021315","Agelenidae","Tortolena","glaucopis","","F. O. Pickard-Cambridge",1902,1,"Mexico, Costa Rica"
"1154",1183,"urn:lsid:nmbe.ch:spidersp:021316","Agelenidae","Tuapoka","cavata","","Forster & Wilton",1973,0,"New Zealand"
"1155",1184,"urn:lsid:nmbe.ch:spidersp:021317","Agelenidae","Tuapoka","ovalis","","Forster & Wilton",1973,0,"New Zealand"
"1156",1185,"urn:lsid:nmbe.ch:spidersp:023090","Agelenidae","Urocoras","longispina","","Kulczyński",1897,1,"Central, Eastern Europe"
"1157",1186,"urn:lsid:nmbe.ch:spidersp:023091","Agelenidae","Urocoras","matesianus","","de Blauwe",1973,1,"Italy"
"1158",1187,"urn:lsid:nmbe.ch:spidersp:023092","Agelenidae","Urocoras","munieri","","Simon",1880,1,"Italy, Slovenia, Croatia"
"1159",1188,"urn:lsid:nmbe.ch:spidersp:022825","Agelenidae","Urocoras","nicomedis","","Brignoli",1978,1,"Turkey"
"1160",1189,"urn:lsid:nmbe.ch:spidersp:023096","Agelenidae","Wadotes","bimucronatus","","Simon",1898,1,"USA"
"1161",1190,"urn:lsid:nmbe.ch:spidersp:023097","Agelenidae","Wadotes","calcaratus","","Keyserling",1887,1,"USA, Canada"
"1162",1191,"urn:lsid:nmbe.ch:spidersp:023098","Agelenidae","Wadotes","carinidactylus","","Bennett",1987,0,"USA"
"1163",1192,"urn:lsid:nmbe.ch:spidersp:023099","Agelenidae","Wadotes","deceptis","","Bennett",1987,0,"USA"
"1164",1193,"urn:lsid:nmbe.ch:spidersp:023100","Agelenidae","Wadotes","dixiensis","","Chamberlin",1925,0,"USA"
"1165",1194,"urn:lsid:nmbe.ch:spidersp:023101","Agelenidae","Wadotes","georgiensis","","Howell",1974,0,"USA"
"1166",1195,"urn:lsid:nmbe.ch:spidersp:023102","Agelenidae","Wadotes","hybridus","","Emerton",1890,1,"USA, Canada"
"1167",1196,"urn:lsid:nmbe.ch:spidersp:023103","Agelenidae","Wadotes","mumai","","Bennett",1987,0,"USA"
"1168",1197,"urn:lsid:nmbe.ch:spidersp:023105","Agelenidae","Wadotes","saturnus","","Bennett",1987,0,"USA"
"1169",1198,"urn:lsid:nmbe.ch:spidersp:023106","Agelenidae","Wadotes","tennesseensis","","Gertsch",1936,0,"USA"
"1170",1199,"urn:lsid:nmbe.ch:spidersp:023107","Agelenidae","Wadotes","willsi","","Bennett",1987,0,"USA"
"1171",1200,"urn:lsid:nmbe.ch:spidersp:022583","Amaurobiidae","Altellopsis","helveola","","Simon",1905,0,"Argentina"
"1172",1201,"urn:lsid:nmbe.ch:spidersp:022584","Amaurobiidae","Amaurobius","agastus","","Chamberlin",1947,1,"USA"
"1173",1202,"urn:lsid:nmbe.ch:spidersp:022587","Amaurobiidae","Amaurobius","annulatus","","Kulczyński",1906,1,"Montenegro"
"1174",1203,"urn:lsid:nmbe.ch:spidersp:040266","Amaurobiidae","Amaurobius","antipovae","","Marusik & Kovblyuk",2004,0,"Caucasus (Russia, Georgia)"
"1175",1205,"urn:lsid:nmbe.ch:spidersp:022590","Amaurobiidae","Amaurobius","ausobskyi","","Thaler & Knoflach",1998,0,"Greece"
"1176",1206,"urn:lsid:nmbe.ch:spidersp:022591","Amaurobiidae","Amaurobius","barbaricus","","Leech",1972,0,"USA"
"1177",1207,"urn:lsid:nmbe.ch:spidersp:022592","Amaurobiidae","Amaurobius","barbarus","","Simon",1911,0,"Algeria, Spain"
"1178",1208,"urn:lsid:nmbe.ch:spidersp:022593","Amaurobiidae","Amaurobius","borealis","","Emerton",1909,0,"USA, Canada"
"1179",1209,"urn:lsid:nmbe.ch:spidersp:037802","Amaurobiidae","Amaurobius","candia","","Thaler & Knoflach",2002,0,"Greece (Crete)"
"1180",1210,"urn:lsid:nmbe.ch:spidersp:022594","Amaurobiidae","Amaurobius","cerberus","","Fage",1931,0,"Spain"
"1181",1211,"urn:lsid:nmbe.ch:spidersp:022595","Amaurobiidae","Amaurobius","corruptus","","Leech",1972,0,"USA"
"1182",1212,"urn:lsid:nmbe.ch:spidersp:022596","Amaurobiidae","Amaurobius","crassipalpis","","Canestrini & Pavesi",1870,0,"Germany, Switzerland, Italy"
"1183",1213,"urn:lsid:nmbe.ch:spidersp:022597","Amaurobiidae","Amaurobius","cretaensis","","Wunderlich",1995,0,"Greece (Crete)"
"1184",1214,"urn:lsid:nmbe.ch:spidersp:022598","Amaurobiidae","Amaurobius","deelemanae","","Thaler & Knoflach",1995,0,"Bulgaria, Greece (incl. Crete)"
"1185",1215,"urn:lsid:nmbe.ch:spidersp:022599","Amaurobiidae","Amaurobius","diablo","","Leech",1972,0,"USA"
"1186",1216,"urn:lsid:nmbe.ch:spidersp:022600","Amaurobiidae","Amaurobius","distortus","","Leech",1972,0,"USA"
"1187",1217,"urn:lsid:nmbe.ch:spidersp:022601","Amaurobiidae","Amaurobius","dorotheae","","Chamberlin",1947,1,"USA"
"1188",1218,"urn:lsid:nmbe.ch:spidersp:022602","Amaurobiidae","Amaurobius","drenskii","","Kratochvíl",1934,0,"Bosnia and Herzegovina"
"1189",1219,"urn:lsid:nmbe.ch:spidersp:022603","Amaurobiidae","Amaurobius","erberi","","Keyserling",1863,1,"Canary Is., Algeria, Europe (not in UK and northern Europe), Turkey, Caucasus, Iran"
"1190",1220,"urn:lsid:nmbe.ch:spidersp:022604","Amaurobiidae","Amaurobius","fenestralis","","Ström",1768,1,"Europe to Central Asia"
"1191",1221,"urn:lsid:nmbe.ch:spidersp:022605","Amaurobiidae","Amaurobius","ferox","","Walckenaer",1830,1,"Europe, Turkey. Introduced to Canada, USA, Mexico"
"1192",1222,"urn:lsid:nmbe.ch:spidersp:022606","Amaurobiidae","Amaurobius","festae","","Caporiacco",1934,0,"Libya"
"1193",1223,"urn:lsid:nmbe.ch:spidersp:022607","Amaurobiidae","Amaurobius","galeritus","","Leech",1972,0,"USA"
"1194",1224,"urn:lsid:nmbe.ch:spidersp:037803","Amaurobiidae","Amaurobius","geminus","","Thaler & Knoflach",2002,0,"Greece (Crete)"
"1195",1225,"urn:lsid:nmbe.ch:spidersp:022608","Amaurobiidae","Amaurobius","hagiellus","","Chamberlin",1947,1,"USA"
"1196",1226,"urn:lsid:nmbe.ch:spidersp:022609","Amaurobiidae","Amaurobius","heathi","","Chamberlin",1947,1,"USA"
"1197",1227,"urn:lsid:nmbe.ch:spidersp:022610","Amaurobiidae","Amaurobius","hercegovinensis","","Kulczyński",1915,0,"Bosnia and Herzegovina, Montenegro"
"1198",1228,"urn:lsid:nmbe.ch:spidersp:022611","Amaurobiidae","Amaurobius","intermedius","","Leech",1972,0,"USA"
"1199",1229,"urn:lsid:nmbe.ch:spidersp:022612","Amaurobiidae","Amaurobius","jugorum","","L. Koch",1868,0,"Europe. Introduced to India"
"1200",1231,"urn:lsid:nmbe.ch:spidersp:022613","Amaurobiidae","Amaurobius","kratochvili","","Miller",1938,0,"Croatia, Albania"
"1201",1232,"urn:lsid:nmbe.ch:spidersp:022614","Amaurobiidae","Amaurobius","latebrosus","","Simon",1874,0,"France (Corsica)"
"1202",1233,"urn:lsid:nmbe.ch:spidersp:022615","Amaurobiidae","Amaurobius","latescens","","Chamberlin",1919,1,"USA"
"1203",1234,"urn:lsid:nmbe.ch:spidersp:022616","Amaurobiidae","Amaurobius","leechi","","Brignoli",1983,0,"USA"
"1204",1235,"urn:lsid:nmbe.ch:spidersp:043860","Amaurobiidae","Amaurobius","lesbius","","Bosmans",2011,0,"Greece"
"1205",1236,"urn:lsid:nmbe.ch:spidersp:022617","Amaurobiidae","Amaurobius","longipes","","Thaler & Knoflach",1995,0,"Greece"
"1206",1237,"urn:lsid:nmbe.ch:spidersp:022618","Amaurobiidae","Amaurobius","mathetes","","Chamberlin",1947,1,"USA"
"1207",1238,"urn:lsid:nmbe.ch:spidersp:022619","Amaurobiidae","Amaurobius","mephisto","","Chamberlin",1947,1,"USA"
"1208",1239,"urn:lsid:nmbe.ch:spidersp:022621","Amaurobiidae","Amaurobius","minor","","Kulczyński",1915,0,"Eastern Europe"
"1209",1240,"urn:lsid:nmbe.ch:spidersp:022622","Amaurobiidae","Amaurobius","minutus","","Leech",1972,0,"USA"
"1210",1241,"urn:lsid:nmbe.ch:spidersp:022624","Amaurobiidae","Amaurobius","obustus","","L. Koch",1868,0,"Europe"
"1211",1242,"urn:lsid:nmbe.ch:spidersp:022625","Amaurobiidae","Amaurobius","occidentalis","","Simon",1893,0,"Portugal, Spain, France"
"1212",1243,"urn:lsid:nmbe.ch:spidersp:022626","Amaurobiidae","Amaurobius","ossa","","Thaler & Knoflach",1993,0,"Greece"
"1213",1244,"urn:lsid:nmbe.ch:spidersp:022627","Amaurobiidae","Amaurobius","pallidus","","L. Koch",1868,0,"Southeastern Europe to Georgia"
"1214",1245,"urn:lsid:nmbe.ch:spidersp:022629","Amaurobiidae","Amaurobius","palomar","","Leech",1972,0,"USA"
"1215",1246,"urn:lsid:nmbe.ch:spidersp:022630","Amaurobiidae","Amaurobius","paon","","Thaler & Knoflach",1993,0,"Greece"
"1216",1247,"urn:lsid:nmbe.ch:spidersp:022631","Amaurobiidae","Amaurobius","pavesii","","Pesarini",1991,0,"Italy"
"1217",1248,"urn:lsid:nmbe.ch:spidersp:022632","Amaurobiidae","Amaurobius","pelops","","Thaler & Knoflach",1991,0,"Greece"
"1218",1249,"urn:lsid:nmbe.ch:spidersp:022633","Amaurobiidae","Amaurobius","phaeacus","","Thaler & Knoflach",1998,0,"Albania, Kosovo, North Macedonia, Greece"
"1219",1250,"urn:lsid:nmbe.ch:spidersp:022634","Amaurobiidae","Amaurobius","prosopidus","","Leech",1972,0,"USA"
"1220",1251,"urn:lsid:nmbe.ch:spidersp:022636","Amaurobiidae","Amaurobius","ruffoi","","Thaler",1990,0,"Italy"
"1221",1253,"urn:lsid:nmbe.ch:spidersp:022638","Amaurobiidae","Amaurobius","scopolii","","Thorell",1871,0,"France, Italy"
"1222",1254,"urn:lsid:nmbe.ch:spidersp:022639","Amaurobiidae","Amaurobius","similis","","Blackwall",1861,1,"Europe, Caucasus. Introduced to North America"
"1223",1255,"urn:lsid:nmbe.ch:spidersp:022640","Titanoecidae","Titanoeca","spominima","","Taczanowski",1866,1,"Sweden, Finland, Central Europe, Serbia, Albania, Ukraine, Russia (Europe)"
"1224",1256,"urn:lsid:nmbe.ch:spidersp:022628","Amaurobiidae","Amaurobius","strandi","","Charitonov",1937,0,"Greece, Bulgaria, Ukraine"
"1225",1257,"urn:lsid:nmbe.ch:spidersp:022641","Amaurobiidae","Amaurobius","tamalpais","","Leech",1972,0,"USA"
"1226",1258,"urn:lsid:nmbe.ch:spidersp:022642","Amaurobiidae","Amaurobius","thoracicus","","Mello-Leitão",1945,0,"Argentina"
"1227",1259,"urn:lsid:nmbe.ch:spidersp:022644","Amaurobiidae","Amaurobius","transversus","","Leech",1972,0,"USA"
"1228",1260,"urn:lsid:nmbe.ch:spidersp:022645","Amaurobiidae","Amaurobius","triangularis","","Leech",1972,0,"USA"
"1229",1261,"urn:lsid:nmbe.ch:spidersp:022646","Amaurobiidae","Amaurobius","tristis","","L. Koch",1875,0,"Eritrea"
"1230",1262,"urn:lsid:nmbe.ch:spidersp:022647","Amaurobiidae","Amaurobius","tulare","","Leech",1972,0,"USA"
"1231",1263,"urn:lsid:nmbe.ch:spidersp:022648","Amaurobiidae","Amaurobius","vachoni","","Hubert",1965,0,"Spain"
"1232",1264,"urn:lsid:nmbe.ch:spidersp:022649","Amaurobiidae","Amaurobius","vexans","","Leech",1972,0,"USA"
"1233",1266,"urn:lsid:nmbe.ch:spidersp:022663","Amaurobiidae","Anisacate","fragile","","Mello-Leitão",1941,0,"Argentina"
"1234",1267,"urn:lsid:nmbe.ch:spidersp:022664","Amaurobiidae","Anisacate","fuegianum","","Simon",1884,1,"Chile, Argentina"
"1235",1268,"urn:lsid:nmbe.ch:spidersp:022665","Amaurobiidae","Anisacate","fuegianum","bransfieldi","Usher",1983,1,"Falkland Is."
"1236",1269,"urn:lsid:nmbe.ch:spidersp:022666","Amaurobiidae","Anisacate","tigrinum","","Mello-Leitão",1941,1,"Argentina"
"1237",1270,"urn:lsid:nmbe.ch:spidersp:022667","Amaurobiidae","Arctobius","agelenoides","","Emerton",1919,1,"USA (Alaska), Canada, Northern Europe, Russia (Far East)"
"1238",1271,"urn:lsid:nmbe.ch:spidersp:022668","Amaurobiidae","Auhunga","pectinata","","Forster & Wilton",1973,0,"New Zealand"
"1239",1272,"urn:lsid:nmbe.ch:spidersp:022669","Amaurobiidae","Auximella","harpagula","","Simon",1906,1,"Ecuador"
"1240",1273,"urn:lsid:nmbe.ch:spidersp:022670","Amaurobiidae","Auximella","minensis","","Mello-Leitão",1926,1,"Brazil"
"1241",1274,"urn:lsid:nmbe.ch:spidersp:022671","Amaurobiidae","Auximella","producta","","Chamberlin",1916,1,"Peru"
"1242",1275,"urn:lsid:nmbe.ch:spidersp:022672","Amaurobiidae","Auximella","spinosa","","Mello-Leitão",1926,1,"Brazil"
"1243",1276,"urn:lsid:nmbe.ch:spidersp:022673","Amaurobiidae","Auximella","subdifficilis","","Mello-Leitão",1920,1,"Brazil"
"1244",1277,"urn:lsid:nmbe.ch:spidersp:022674","Amaurobiidae","Auximella","typica","","Strand",1908,0,"Peru"
"1245",1278,"urn:lsid:nmbe.ch:spidersp:022675","Desidae","Bakala","episinoides","","Davies",1990,0,"Australia (Queensland)"
"1246",1279,"urn:lsid:nmbe.ch:spidersp:022676","Amaurobiidae","Callevopsis","striata","","Tullgren",1902,0,"Chile, Argentina"
"1247",1280,"urn:lsid:nmbe.ch:spidersp:022677","Amaurobiidae","Callobius","angelus","","Chamberlin & Ivie",1947,1,"USA"
"1248",1281,"urn:lsid:nmbe.ch:spidersp:022678","Amaurobiidae","Callobius","arizonicus","","Chamberlin & Ivie",1947,1,"USA, Mexico"
"1249",1282,"urn:lsid:nmbe.ch:spidersp:022679","Amaurobiidae","Callobius","bennetti","","Blackwall",1846,1,"USA, Canada"
"1250",1283,"urn:lsid:nmbe.ch:spidersp:022680","Amaurobiidae","Callobius","canada","","Chamberlin & Ivie",1947,1,"USA, Canada"
"1251",1284,"urn:lsid:nmbe.ch:spidersp:022681","Amaurobiidae","Callobius","claustrarius","","Hahn",1833,1,"Europe, Turkey, Caucasus to Kazakhstan"
"1252",1285,"urn:lsid:nmbe.ch:spidersp:022682","Amaurobiidae","Callobius","balcanicus","","Drensky",1940,1,"Bulgaria"
"1253",1286,"urn:lsid:nmbe.ch:spidersp:022683","Amaurobiidae","Callobius","deces","","Chamberlin & Ivie",1947,1,"USA"
"1254",1287,"urn:lsid:nmbe.ch:spidersp:022684","Amaurobiidae","Callobius","enus","","Chamberlin & Ivie",1947,1,"USA, Canada"
"1255",1288,"urn:lsid:nmbe.ch:spidersp:022685","Amaurobiidae","Callobius","gertschi","","Leech",1972,0,"USA"
"1256",1289,"urn:lsid:nmbe.ch:spidersp:022686","Amaurobiidae","Callobius","guachama","","Leech",1972,0,"USA"
"1257",1290,"urn:lsid:nmbe.ch:spidersp:022687","Amaurobiidae","Callobius","hokkaido","","Leech",1971,0,"Russia (Kurile Is.), Japan"
"1258",1291,"urn:lsid:nmbe.ch:spidersp:022688","Amaurobiidae","Callobius","hyonasus","","Leech",1972,0,"USA"
"1259",1292,"urn:lsid:nmbe.ch:spidersp:022689","Amaurobiidae","Callobius","kamelus","","Chamberlin & Ivie",1947,1,"USA"
"1260",1293,"urn:lsid:nmbe.ch:spidersp:022690","Amaurobiidae","Callobius","klamath","","Leech",1972,0,"USA"
"1261",1294,"urn:lsid:nmbe.ch:spidersp:022691","Amaurobiidae","Callobius","koreanus","","Paik",1966,1,"Korea"
"1262",1295,"urn:lsid:nmbe.ch:spidersp:022692","Amaurobiidae","Callobius","manzanita","","Leech",1972,0,"USA"
